user_id,batch_week,challenge_start_date
user_061,6/13/2022,9/12/2022
user_062,6/13/2022,9/12/2022
user_063,6/27/2022,9/12/2022
user_064,6/27/2022,9/12/2022
user_065,6/13/2022,9/12/2022
user_066,6/27/2022,9/12/2022
user_067,6/27/2022,9/12/2022
user_068,6/13/2022,9/12/2022
user_069,6/13/2022,9/12/2022
user_070,6/27/2022,9/12/2022
user_071,6/13/2022,9/12/2022
user_072,6/13/2022,9/12/2022
user_073,6/27/2022,9/12/2022
user_074,6/13/2022,9/12/2022
user_075,6/13/2022,9/12/2022
user_076,6/27/2022,9/12/2022
user_077,6/13/2022,9/12/2022
user_078,6/27/2022,9/12/2022
user_079,6/13/2022,9/12/2022
user_080,6/27/2022,9/12/2022
user_081,6/27/2022,9/12/2022
user_082,6/13/2022,9/12/2022
user_083,6/27/2022,9/12/2022
user_084,6/27/2022,9/12/2022
user_085,6/13/2022,9/12/2022
user_086,6/13/2022,9/12/2022
user_087,6/27/2022,9/12/2022
user_088,6/27/2022,9/12/2022
user_089,6/27/2022,9/12/2022
user_090,6/13/2022,9/12/2022
user_091,6/13/2022,9/12/2022
user_092,6/13/2022,9/12/2022
user_093,6/27/2022,9/12/2022
user_094,6/13/2022,9/12/2022
user_095,6/27/2022,9/12/2022
user_096,6/27/2022,9/12/2022
user_097,6/27/2022,9/12/2022
user_098,6/27/2022,9/12/2022
user_099,6/13/2022,9/12/2022
user_100,6/27/2022,9/12/2022
user_101,6/13/2022,9/12/2022
user_102,6/27/2022,9/12/2022
user_103,6/27/2022,9/12/2022
user_104,6/27/2022,9/12/2022
user_105,6/27/2022,9/12/2022
user_106,6/27/2022,9/12/2022
user_107,6/27/2022,9/12/2022
user_108,6/13/2022,9/12/2022
user_109,6/6/2022,9/12/2022
user_110,6/27/2022,9/12/2022
user_111,6/13/2022,9/12/2022
user_112,6/13/2022,9/12/2022
user_113,6/27/2022,9/12/2022
user_114,6/27/2022,9/12/2022
user_115,6/13/2022,9/12/2022
user_116,6/27/2022,9/12/2022
user_117,6/27/2022,9/12/2022
user_118,6/27/2022,9/12/2022
user_119,6/13/2022,9/12/2022
user_120,6/27/2022,9/12/2022
user_121,6/27/2022,9/12/2022
user_122,6/27/2022,9/12/2022
user_123,6/27/2022,9/12/2022
user_124,6/27/2022,9/12/2022
user_125,6/13/2022,9/12/2022
user_126,6/6/2022,9/12/2022
user_127,6/13/2022,9/12/2022
user_128,6/13/2022,9/12/2022
user_129,6/13/2022,9/12/2022
user_130,6/13/2022,9/12/2022
user_131,6/6/2022,9/12/2022
user_132,6/13/2022,9/12/2022
user_133,6/13/2022,9/12/2022
user_134,6/13/2022,9/12/2022
user_135,6/13/2022,9/12/2022
user_136,6/13/2022,9/12/2022
user_137,6/13/2022,9/12/2022
user_138,6/13/2022,9/12/2022
user_139,6/13/2022,9/12/2022
user_140,6/13/2022,9/12/2022
user_141,6/13/2022,9/12/2022
user_142,6/13/2022,9/12/2022
user_143,6/13/2022,9/12/2022
user_144,6/13/2022,9/12/2022
user_145,6/13/2022,9/12/2022
user_146,6/13/2022,9/12/2022
user_147,6/13/2022,9/12/2022
user_148,6/13/2022,9/12/2022
user_149,6/13/2022,9/12/2022
user_150,6/13/2022,9/12/2022
user_151,6/13/2022,9/12/2022
user_152,6/13/2022,9/12/2022
user_153,6/13/2022,9/12/2022
user_154,6/13/2022,9/12/2022
user_155,6/13/2022,9/12/2022
user_156,6/13/2022,9/12/2022
user_157,6/13/2022,9/12/2022
user_158,6/13/2022,9/12/2022
user_159,6/13/2022,9/12/2022
user_160,6/13/2022,9/12/2022
user_161,6/13/2022,9/12/2022
user_162,6/13/2022,9/12/2022
user_163,6/13/2022,9/12/2022
user_164,6/13/2022,9/12/2022
user_165,6/13/2022,9/12/2022
user_166,6/13/2022,9/12/2022
user_167,6/6/2022,9/12/2022
user_168,6/13/2022,9/12/2022
user_169,6/13/2022,9/12/2022
user_170,6/13/2022,9/12/2022
user_171,6/6/2022,9/12/2022
user_172,6/13/2022,9/12/2022
user_173,6/13/2022,9/12/2022
user_174,6/13/2022,9/12/2022
user_175,6/13/2022,9/12/2022
user_176,6/13/2022,9/12/2022
user_177,6/13/2022,9/12/2022
user_178,6/13/2022,9/12/2022
user_179,6/13/2022,9/12/2022
user_180,6/6/2022,9/12/2022
user_181,6/13/2022,9/12/2022
user_182,6/13/2022,9/12/2022
user_183,6/13/2022,9/12/2022
user_184,6/13/2022,9/12/2022
user_185,6/13/2022,9/12/2022
user_186,6/13/2022,9/12/2022
user_187,6/6/2022,9/12/2022
user_188,6/13/2022,9/12/2022
user_189,6/13/2022,9/12/2022
user_190,6/13/2022,9/12/2022
user_191,6/13/2022,9/12/2022
user_192,6/13/2022,9/12/2022
user_193,6/13/2022,9/12/2022
user_194,6/13/2022,9/12/2022
user_195,6/13/2022,9/12/2022
user_196,6/13/2022,9/12/2022
user_197,6/13/2022,9/12/2022
user_198,6/13/2022,9/12/2022
user_199,6/13/2022,9/12/2022
user_200,6/13/2022,9/12/2022
user_201,6/13/2022,9/12/2022
user_202,6/13/2022,9/12/2022
user_203,6/13/2022,9/12/2022
user_204,6/13/2022,9/12/2022
user_205,6/13/2022,9/12/2022
user_206,6/13/2022,9/12/2022
user_207,6/6/2022,9/12/2022
user_208,6/13/2022,9/12/2022
user_209,6/13/2022,9/12/2022
user_210,6/13/2022,9/12/2022
user_211,6/6/2022,9/12/2022
user_212,6/13/2022,9/12/2022
user_213,6/6/2022,9/12/2022
user_214,6/13/2022,9/12/2022
user_215,6/13/2022,9/12/2022
user_216,6/13/2022,9/12/2022
user_217,6/6/2022,9/12/2022
user_218,6/13/2022,9/12/2022
user_219,6/6/2022,9/12/2022
user_220,6/13/2022,9/12/2022
user_221,6/6/2022,9/12/2022
user_222,6/6/2022,9/12/2022
user_223,6/13/2022,9/12/2022
user_224,6/13/2022,9/12/2022
user_225,6/13/2022,9/12/2022
user_226,6/6/2022,9/12/2022
user_227,6/13/2022,9/12/2022
user_228,6/6/2022,9/12/2022
user_229,6/6/2022,9/12/2022
user_230,6/13/2022,9/12/2022
user_231,6/13/2022,9/12/2022
user_232,6/13/2022,9/12/2022
user_233,6/13/2022,9/12/2022
user_234,6/13/2022,9/12/2022
user_235,6/13/2022,9/12/2022
user_236,6/6/2022,9/12/2022
user_237,6/6/2022,9/12/2022
user_238,6/13/2022,9/12/2022
user_239,6/13/2022,9/12/2022
user_240,6/13/2022,9/12/2022
user_241,6/6/2022,9/12/2022
user_242,6/13/2022,9/12/2022
user_243,6/13/2022,9/12/2022
user_244,6/13/2022,9/12/2022
user_245,6/13/2022,9/12/2022
user_246,6/6/2022,9/12/2022
user_247,6/6/2022,9/12/2022
user_248,6/6/2022,9/12/2022
user_249,6/6/2022,9/12/2022
user_250,6/13/2022,9/12/2022
user_251,6/13/2022,9/12/2022
user_252,6/6/2022,9/12/2022
user_253,6/13/2022,9/12/2022
user_254,6/6/2022,9/12/2022
user_255,6/13/2022,9/12/2022
user_256,6/6/2022,9/12/2022
user_257,6/6/2022,9/12/2022
user_258,6/13/2022,9/12/2022
user_259,6/6/2022,9/12/2022
user_260,6/6/2022,9/12/2022
user_261,6/13/2022,9/12/2022
user_262,6/13/2022,9/12/2022
user_263,6/13/2022,9/12/2022
user_264,6/13/2022,9/12/2022
user_265,6/6/2022,9/12/2022
user_266,6/13/2022,9/12/2022
user_267,6/6/2022,9/12/2022
user_268,6/13/2022,9/12/2022
user_269,6/13/2022,9/12/2022
user_270,6/13/2022,9/12/2022
user_271,6/13/2022,9/12/2022
user_272,6/13/2022,9/12/2022
user_273,6/6/2022,9/12/2022
user_274,6/13/2022,9/12/2022
user_275,6/13/2022,9/12/2022
user_276,6/13/2022,9/12/2022
user_277,6/6/2022,9/12/2022
user_278,6/13/2022,9/12/2022
user_279,6/13/2022,9/12/2022
user_280,6/6/2022,9/12/2022
user_281,6/6/2022,9/12/2022
user_282,6/6/2022,9/12/2022
user_283,6/6/2022,9/12/2022
user_284,6/6/2022,9/12/2022
user_285,6/6/2022,9/12/2022
user_286,6/6/2022,9/12/2022
user_287,6/6/2022,9/12/2022
user_288,6/6/2022,9/12/2022
user_289,6/6/2022,9/12/2022
user_290,6/6/2022,9/12/2022
user_291,6/6/2022,9/12/2022
user_292,6/6/2022,9/12/2022
user_293,6/6/2022,9/12/2022
user_294,6/6/2022,9/12/2022
user_295,6/6/2022,9/12/2022
user_296,6/6/2022,9/12/2022
user_297,6/6/2022,9/12/2022
user_298,6/6/2022,9/12/2022
user_299,6/6/2022,9/12/2022
user_300,6/6/2022,9/12/2022
user_301,6/6/2022,9/12/2022
user_302,6/6/2022,9/12/2022
user_303,6/6/2022,9/12/2022
user_304,6/6/2022,9/12/2022
user_305,6/6/2022,9/12/2022
user_306,6/6/2022,9/12/2022
user_307,6/6/2022,9/12/2022
user_308,6/6/2022,9/12/2022
user_309,6/6/2022,9/12/2022
user_310,6/6/2022,9/12/2022
user_311,6/6/2022,9/12/2022
user_312,6/6/2022,9/12/2022
user_313,6/6/2022,9/12/2022
user_314,6/6/2022,9/12/2022
user_315,6/6/2022,9/12/2022
user_316,6/6/2022,9/12/2022
user_317,6/6/2022,9/12/2022
user_318,6/6/2022,9/12/2022
user_319,6/6/2022,9/12/2022
user_320,6/6/2022,9/12/2022
user_321,6/6/2022,9/12/2022
user_322,6/6/2022,9/12/2022
user_323,6/6/2022,9/12/2022
user_324,6/6/2022,9/12/2022
user_325,6/6/2022,9/12/2022
user_326,6/13/2022,9/12/2022
user_327,6/13/2022,9/12/2022
user_328,6/13/2022,9/12/2022
user_329,6/6/2022,9/12/2022
user_330,6/13/2022,9/12/2022
